date,year,Period,year_period,Sum of P,Average of T,Sum of RAIN,Sum of SNOW,Max of PACK,Sum of MELT,Sum of W,Sum of PET,Sum of W - PET,Average of SOIL,Sum of AET,Sum of W-ET-/\SOIL,Sum of D,Sum of GDD,scaled EVI3,SPEI
2/18/2000,2000,3,2000_3,0.508,5.104166667,0.258703704,0.249296296,0.249296296,0.249296296,0.508,15.00107316,-14.49307316,35.69643851,2.761740257,4.44089E-15,12.2393329,81.66666667,0.0989777,-1.821359032
3/5/2000,2000,4,2000_4,13.716,4.027777778,11.78277778,1.933222222,1.008944444,1.933222222,13.716,14.91737313,-1.201373128,37.60839471,6.311889636,6.66134E-15,8.605483493,64.44444444,0.0961393,-1.425162025
3/21/2000,2000,5,2000_5,11.43,5.416666667,5.150555556,6.279444444,3.090333333,3.189111111,8.339666667,17.14348399,-8.803817319,45.21654101,5.663153458,1.88738E-15,11.48033053,88.61111111,0.0996873,-1.628431338
4/6/2000,2000,6,2000_6,0.762,11.12847222,0.762,0,0,3.090333333,3.852333333,25.01368604,-21.16135271,44.53482764,6.348294867,-4.55191E-15,18.66539117,178.0555556,0.1072404,-1.829622311
4/22/2000,2000,7,2000_7,0,13.81944444,0,0,0,0,0,30.06537488,-30.06537488,39.37210306,5.175380943,0,24.88999394,221.1111111,0.1081276,-1.173313227
5/8/2000,2000,8,2000_8,3.048,18.31597222,3.048,0,0,0,3.048,40.01991613,-36.97191613,34.00926745,7.751435679,8.88178E-16,32.26848045,293.0555556,0.1105981,-1.106516999
5/24/2000,2000,9,2000_9,3.048,15.86805556,3.048,0,0,0,3.048,36.8302402,-33.7822402,30.06737154,7.468008526,-1.77636E-15,29.36223167,253.8888889,0.1092091,-0.550579381
6/9/2000,2000,10,2000_10,0,24.30555556,0,0,0,0,0,57.35208134,-57.35208134,24.56925299,6.165616626,0,51.18646472,388.8888889,0.1085723,-0.883184736
6/25/2000,2000,11,2000_11,0,22.77777778,0,0,0,0,0,53.84062682,-53.84062682,19.30184036,4.543859809,0,49.29676701,364.4444444,0.1088162,-0.533951462
7/11/2000,2000,12,2000_12,7.62,23.47222222,7.62,0,0,0,7.62,55.35562947,-47.73562947,15.52022076,10.84883238,-2.77556E-15,44.50679709,375.5555556,0.1112366,-0.533989519
7/27/2000,2000,13,2000_13,0,27.43986111,0,0,0,0,0,66.0307141,-66.0307141,12.05871562,3.493422961,0,62.53729114,439.0377778,0.1129262,-0.341539903
8/12/2000,2000,14,2000_14,6.604,27.69097222,6.604,0,0,0,6.604,64.91782743,-58.31382743,10.15778348,7.291900256,-4.44089E-16,57.62592718,443.0555556,0.1088519,-0.270463633
8/28/2000,2000,15,2000_15,16.002,23.45486111,16.002,0,0,0,16.002,50.57766339,-34.57566339,10.29946898,12.17820909,1.22125E-15,38.3994543,375.2777778,0.1032321,-0.153300812
9/13/2000,2000,16,2000_16,22.352,19.84375,22.352,0,0,0,22.352,40.19214226,-17.84014226,21.78973531,11.90921723,4.88498E-15,28.28292503,317.5,0.1002321,-0.095317201
9/29/2000,2000,17,2000_17,0,18.88888889,0,0,0,0,0,37.62037121,-37.62037121,21.86985848,3.634012352,0,33.98635885,302.2222222,0.1029436,-0.275802601
10/15/2000,2000,18,2000_18,10.16,15.13888889,10.16,0,0,0,10.16,28.98574947,-18.82574947,21.30563019,5.207567125,-4.44089E-16,23.77818235,242.2222222,0.0966721,-0.463872967
10/31/2000,2000,19,2000_19,64.516,8.802083333,62.50281481,2.013185185,1.279407407,0.733777778,63.23659259,19.20680741,44.02978518,49.7649897,10.14454323,3.10862E-15,9.062264176,140.8333333,0.0968489,-0.509771897
11/16/2000,2000,20,2000_20,1.016,0.625,0.188148148,0.827851852,0.827851852,1.279407407,1.467555556,11.34171931,-9.874163756,77.02221232,4.50675038,2.77556E-16,6.834968931,24.16666667,0.0929722,0.018801093
12/2/2000,2000,21,2000_21,1.778,1.197916667,1.481666667,0.296333333,0.827851852,1.124185185,2.605851852,11.13901643,-8.533164574,74.45393384,4.897951232,-7.04992E-15,6.241065194,28.88888889,0.0940664,-0.530007702
12/18/2000,2000,22,2000_22,0,1.5625,0,0,0,0,0,11.02751222,-11.02751222,71.28542357,3.425085842,0,7.602426373,28.61111111,0.091827,-0.728191892
1/1/2001,2000,23,2000_23,2.54,-0.644700855,0,2.54,2.54,2.54,2.54,7.807713017,-5.267713017,69.47933449,2.815197575,2.9976E-15,4.992515442,2.777777778,0.0928692,-0.684906966
1/17/2001,2001,1,2001_1,23.622,-0.763888889,0.776111111,22.84588889,22.84588889,0,0.776111111,9.74205334,-8.965942229,67.95309769,3.340617953,-6.77236E-15,6.401435387,7.777777778,,-1.10351078
2/2/2001,2001,2,2001_2,26.924,-2.725694444,0.505648148,26.41835185,48.15312963,8.888888889,9.394537037,8.974452026,0.420085011,68.23311846,3.652959991,-2.88658E-15,5.321492034,2.222222222,0.0816488,-0.399622722
2/18/2001,2001,3,2001_3,8.128,-0.555555556,0,8.128,40.37535185,21.11111111,21.11111111,10.75947826,10.35163285,81.78687121,6.202901213,-6.66134E-15,4.556577051,5.277777778,0.0842172,-1.539497426
3/5/2001,2001,4,2001_4,20.066,3.802083333,5.764388889,14.30161111,13.02455556,41.69385185,47.45824074,14.70036206,32.75787868,116.1157765,10.38294466,-2.02061E-14,4.317417397,60.83333333,0.0952767,-1.764522166
3/21/2001,2001,5,2001_5,9.398,7.378472222,8.527814815,0.870185185,0.540925926,0.870185185,9.398,19.23407988,-9.836079884,124.667998,12.62874437,-1.32117E-14,6.605335515,118.0555556,0.1042009,-1.619429055
4/6/2001,2001,6,2001_6,3.048,11.11111111,3.048,0,0,0,3.048,24.68666654,-21.63866654,116.2977219,13.53106069,-1.19904E-14,11.15560585,177.7777778,0.1107701,-0.497497253
4/22/2001,2001,7,2001_7,5.842,9.21875,1.893240741,3.948759259,3.948759259,3.948759259,5.842,24.06416467,-18.22216467,109.2627224,12.51549035,-5.21805E-15,11.54867433,147.5,0.1242914,-1.724245605
5/8/2001,2001,8,2001_8,39.764,14.42708333,37.65342593,2.110574074,1.629833333,2.110574074,39.764,33.12617259,6.637827406,110.3489738,18.71251778,6.66134E-16,14.41365482,230.8333333,0.131164,-0.426679687
5/24/2001,2001,9,2001_9,5.842,19.25347222,5.842,0,0,0,5.842,43.50459386,-37.66259386,116.5002509,23.70267343,2.22045E-15,19.80192043,308.0555556,0.1269496,-1.022076304
6/9/2001,2001,10,2001_10,10.16,22.27430556,10.16,0,0,0,10.16,52.00012845,-41.84012845,97.5466323,24.03412621,3.55271E-15,27.96600224,356.3888889,0.1361664,-1.158369449
6/25/2001,2001,11,2001_11,2.54,22.82986111,2.54,0,0,0,2.54,54.71479394,-52.17479394,83.19767148,21.52718962,-6.21725E-15,33.18760432,365.2777778,0.1248834,-0.439452165
7/11/2001,2001,12,2001_12,3.556,26.06899306,3.556,0,0,0,3.556,63.27683384,-59.72083384,64.83033174,20.60785502,-8.88178E-16,42.66897881,417.1038889,0.1203152,0.827824671
7/27/2001,2001,13,2001_13,14.478,23.17708333,14.478,0,0,0,14.478,53.66757599,-39.18957599,59.25903381,17.78121148,8.21565E-15,35.88636451,370.8333333,0.1245654,-0.263178644
8/12/2001,2001,14,2001_14,6.858,24.86434028,6.858,0,0,0,6.858,56.42722126,-49.56922126,48.16563471,17.07968202,4.88498E-15,39.34753924,397.8294444,0.1365377,-0.189335045
8/28/2001,2001,15,2001_15,10.16,23.55902778,10.16,0,0,0,10.16,51.00207785,-40.84207785,42.02921618,14.61843901,-7.99361E-15,36.38363884,376.9444444,0.1321671,-0.014802232
9/13/2001,2001,16,2001_16,0.254,21.70138889,0.254,0,0,0,0.254,44.49508373,-44.24108373,35.5845762,7.171169548,2.22045E-15,37.32391418,347.2222222,0.1198513,0.376583204
9/29/2001,2001,17,2001_17,0,21.40625,0,0,0,0,0,41.31566378,-41.31566378,29.7037863,5.36236199,0,35.95330179,342.5,0.1155701,-0.311864882
10/15/2001,2001,18,2001_18,3.048,15.10416667,3.048,0,0,0,3.048,28.81476668,-25.76676668,26.21233621,4.565501945,0,24.24926474,241.6666667,0.1141918,-0.064822136
10/31/2001,2001,19,2001_19,0,12.91666667,0,0,0,0,0,23.83465336,-23.83465336,24.33243774,2.533187456,0,21.3014659,206.6666667,0.1101858,-0.339464758
11/16/2001,2001,20,2001_20,1.27,10.01736111,1.27,0,0,0,1.27,19.22236181,-17.95236181,22.21790252,3.011983829,-5.55112E-16,16.21037798,160.2777778,0.1099913,-0.431061307
12/2/2001,2001,21,2001_21,14.732,1.475694444,4.92712963,9.80487037,7.582648148,9.80487037,14.732,11.62377877,3.108221229,24.47126417,3.98396784,2.66454E-15,7.639810931,44.72222222,0.1068902,0.053915864
12/18/2001,2001,22,2001_22,0.762,-2.430555556,0.117592593,0.644407407,0.390407407,0.390407407,0.508,8.7601456,-8.2521456,31.57792939,1.643036192,-2.66454E-15,7.117109409,6.388888889,0.1080055,-0.590088969
1/1/2002,2001,23,2001_23,3.302,-1.616111111,0,3.302,3.556,0,0,7.352898937,-7.352898937,30.55662158,0.97760545,0,6.375293487,0,0.1048204,-1.323912814
1/17/2002,2002,1,2002_1,3.302,-0.329861111,0,3.302,6.858,6.858,6.858,9.992881554,-3.134881554,32.57046951,3.124057146,-1.88738E-15,6.868824408,11.94444444,0.1053876,-0.141362297
2/2/2002,2002,2,2002_2,0.254,-3.333333333,0,0.254,0.254,0,0,8.689021222,-8.689021222,33.15063389,1.254105987,0,7.434915236,2.5,0.1064895,-0.529555381
2/18/2002,2002,3,2002_3,2.286,0.034722222,0.035277778,2.250722222,2.250722222,0.254,0.289277778,11.12208307,-10.83280529,31.80581627,1.787884648,1.22125E-15,9.334198419,9.444444444,0.1094306,-1.584852521
3/5/2002,2002,4,2002_4,0,2.118055556,0,0,0,2.250722222,2.250722222,13.51500382,-11.2642816,31.51597619,2.613958658,2.66454E-15,10.90104516,48.61111111,0.1055492,-1.575714082
3/21/2002,2002,5,2002_5,0,4.357638889,0,0,0,0,0,16.57092742,-16.57092742,29.638992,2.134855987,0,14.43607143,74.72222222,0.1070175,-1.437065638
4/6/2002,2002,6,2002_6,0,13.54166667,0,0,0,0,0,28.53750025,-28.53750025,26.92046483,3.334529893,0,25.20297036,216.6666667,0.1068949,-1.537733549
4/22/2002,2002,7,2002_7,2.54,12.43055556,2.54,0,0,0,2.54,28.11388701,-25.57388701,24.38276984,4.462352952,1.55431E-15,23.65153406,198.8888889,0.1094962,-1.652336394
5/8/2002,2002,8,2002_8,0,14.58333333,0,0,0,0,0,32.81018617,-32.81018617,21.64829099,3.100243926,0,29.70994224,233.3333333,0.110108,-1.337720205
5/24/2002,2002,9,2002_9,0,16.26736111,0,0,0,0,0,37.55452438,-37.55452438,18.53875829,3.046007488,0,34.50851689,260.2777778,0.1105275,-1.249923832
6/9/2002,2002,10,2002_10,5.842,22.27430556,5.842,0,0,0,5.842,52.50365226,-46.66165226,16.90983545,6.156209047,8.88178E-16,46.34744321,356.3888889,0.1078073,-1.040013231
6/25/2002,2002,11,2002_11,0,24.87847222,0,0,0,0,0,60.04852959,-60.04852959,14.81442597,3.873942201,0,56.17458739,398.0555556,0.1097075,-0.294512254
7/11/2002,2002,12,2002_12,0,28.61111111,0,0,0,0,0,71.33516445,-71.33516445,11.07616151,3.462734678,0,67.87242978,457.7777778,0.1097223,-0.426902226
7/27/2002,2002,13,2002_13,10.16,26.57986111,10.16,0,0,0,10.16,63.65735034,-53.49735034,8.772671603,9.420837457,-8.88178E-16,54.23651288,425.2777778,0.1067987,-0.353760806
8/12/2002,2002,14,2002_14,6.604,25.06944444,6.604,0,0,0,6.604,57.25005903,-50.64605903,9.951039584,7.691260292,6.66134E-16,49.55879874,401.1111111,0.1057801,-0.196262644
8/28/2002,2002,15,2002_15,1.016,25.15625,1.016,0,0,0,1.016,55.41333239,-54.39733239,8.05383513,2.948351704,7.77156E-16,52.46498068,402.5,0.1145952,0.055430508
9/13/2002,2002,16,2002_16,36.83,19.75694444,36.83,0,0,0,36.83,40.29050813,-3.460508126,15.12834854,11.20555724,-6.77236E-15,29.08495089,316.1111111,0.103447,-0.222730277
9/29/2002,2002,17,2002_17,9.652,17.62152778,9.652,0,0,0,9.652,34.31305129,-24.66105129,30.96407912,8.388111752,-5.44009E-15,25.92493954,281.9444444,0.1115462,2.004276343
10/15/2002,2002,18,2002_18,9.398,12.56944444,9.398,0,0,0,9.398,24.7652706,-15.3672706,38.3786359,6.396469402,-3.10862E-15,18.3688012,201.1111111,0.1118408,0.448465754
10/31/2002,2002,19,2002_19,15.494,9.0625,15.40227778,0.091722222,0.091722222,0.091722222,15.494,19.40286123,-3.908861234,39.93255796,6.360816164,-1.44329E-15,13.04204507,145,0.1094367,0.020670731
11/16/2002,2002,20,2002_20,13.208,4.461805556,11.50055556,1.707444444,1.707444444,1.707444444,13.208,14.1066397,-0.898639703,50.50525698,5.305344709,3.33067E-16,8.801294994,71.38888889,0.1069107,-0.688038612
12/2/2002,2002,21,2002_21,3.302,3.993055556,2.293055556,1.008944444,1.008944444,1.008944444,3.302,13.0856197,-9.783619702,52.8814388,4.212402348,-8.88178E-16,8.873217354,63.88888889,0.1061724,-0.383850797
12/18/2002,2002,22,2002_22,0.508,2.239583333,0.16462963,0.34337037,0.34337037,0.34337037,0.508,11.51321535,-11.00521535,51.82445483,2.996296999,-2.66454E-15,8.516918351,40.27777778,0.0986252,-0.704131549
1/1/2003,2002,23,2002_23,0,-2.412222222,0,0,0,0,0,7.031198206,-7.031198206,49.97722969,1.528551172,0,5.502647033,1.666666667,0.1026052,-0.657710646
1/17/2003,2003,1,2003_1,3.302,1.232638889,1.258240741,2.043759259,0.954851852,2.043759259,3.302,10.92995732,-7.627957319,48.57348054,4.497402865,4.38538E-15,6.432554454,23.88888889,0.0983306,-0.860146604
2/2/2003,2003,2,2003_2,0,4.6296875,0,0,0,0,0,13.87759777,-13.87759777,46.61022498,2.813197129,0,11.06440064,74.075,0.0961771,-1.329589655
2/18/2003,2003,3,2003_3,2.794,1.076388889,1.364074074,1.429925926,1.27,1.392296296,2.75637037,12.03339182,-9.277021447,44.32666114,4.230891483,2.16493E-15,7.802500335,32.77777778,0.0962675,-1.562530769
3/5/2003,2003,4,2003_4,21.59,2.951388889,6.35,15.24,9.165166667,15.27762963,21.62762963,13.96082543,7.666804201,49.78066836,6.203727642,5.32907E-15,7.757097787,47.5,0.0933697,-1.913646919
3/21/2003,2003,5,2003_5,9.906,8.888888889,7.40362963,2.50237037,2.50237037,2.50237037,9.906,20.84307879,-10.93707879,59.26295669,7.046033953,6.88338E-15,13.79704484,142.2222222,0.1011949,-1.857763464
4/6/2003,2003,6,2003_6,6.604,8.090277778,6.50287037,0.10112963,0.10112963,0.10112963,6.604,21.25131462,-14.64731462,63.01143113,7.191696072,-5.9952E-15,14.05961855,129.4444444,0.1019581,-1.328940187
4/22/2003,2003,7,2003_7,4.572,10.45138889,4.572,0,0,0,4.572,25.10664907,-20.53464907,58.6053071,8.63836037,-2.22045E-15,16.4682887,167.2222222,0.1101588,-1.118132071
5/8/2003,2003,8,2003_8,1.016,11.82291667,1.016,0,0,0,1.016,28.24291915,-27.22691915,53.71599099,7.422700968,1.77636E-15,20.82021818,189.1666667,0.1121802,-1.244853364
5/24/2003,2003,9,2003_9,4.572,17.82986111,4.572,0,0,0,4.572,40.76719375,-36.19519375,47.6759042,11.69809506,-1.33227E-15,29.06909869,285.2777778,0.1145278,-1.146794948
6/9/2003,2003,10,2003_10,3.302,23.69791667,3.302,0,0,0,3.302,55.68969666,-52.38769666,38.90205468,12.23492582,4.44089E-16,43.45477084,379.1666667,0.1167999,-0.267021988
6/25/2003,2003,11,2003_11,0.254,21.61458333,0.254,0,0,0,0.254,50.90654776,-50.65254776,30.9718152,7.156754305,-1.33227E-15,43.74979346,345.8333333,0.1116535,-0.431966929
7/11/2003,2003,12,2003_12,0,27.27430556,0,0,0,0,0,66.96653871,-66.96653871,24.24594603,7.077636875,0,59.88890184,436.3888889,0.1113363,-0.214143157
7/27/2003,2003,13,2003_13,0,29.46180556,0,0,0,0,0,72.93137463,-72.93137463,17.66616351,5.690489584,0,67.24088505,471.3888889,0.1119669,-0.369293584
8/12/2003,2003,14,2003_14,11.43,26.19791667,11.43,0,0,0,11.43,60.33202194,-48.90202194,15.06814083,10.36170031,-2.22045E-15,49.97032164,419.1666667,0.1123762,-0.300491082
8/28/2003,2003,15,2003_15,30.48,24.35763889,30.48,0,0,0,30.48,53.0484659,-22.5684659,24.02151496,13.19807635,-1.33227E-15,39.85038955,389.7222222,0.1078141,-0.214498054
9/13/2003,2003,16,2003_16,6.35,20.3125,6.35,0,0,0,6.35,41.48981708,-35.13981708,31.33662056,10.33448776,-3.55271E-15,31.15532932,325,0.1054396,-0.362604848
9/29/2003,2003,17,2003_17,0,19.79166667,0,0,0,0,0,38.49248392,-38.49248392,27.27302234,4.56400256,0,33.92848136,316.6666667,0.101191,0.028245026
10/15/2003,2003,18,2003_18,19.304,16.11274306,19.304,0,0,0,19.304,30.16297315,-10.85897315,36.3125228,9.225310723,-5.88418E-15,20.93766243,257.8038889,0.1002895,-0.290158122
10/31/2003,2003,19,2003_19,0,15.26041667,0,0,0,0,0,27.27831782,-27.27831782,32.86455128,3.929000586,0,23.34931723,244.1666667,0.0960184,-0.54287098
11/16/2003,2003,20,2003_20,19.812,5.381944444,13.75833333,6.053666667,6.053666667,6.053666667,19.812,14.83080584,4.981194163,35.50971655,3.670774661,1.11022E-16,11.16003118,86.11111111,0.097351,-0.738354572
12/2/2003,2003,21,2003_21,0,0.954861111,0,0,0,0,0,11.10170091,-11.10170091,46.11415764,2.230906232,0,8.870794681,31.38888889,0.0966341,-0.694909836
12/18/2003,2003,22,2003_22,6.538,0.017361111,1.351851852,5.186148148,2.843703704,2.342444444,3.694296296,10.14185421,-6.447557914,45.06262176,3.580967133,6.10623E-15,6.560887077,17.5,0.1094725,-0.780315556
1/1/2004,2003,23,2003_23,11.176,-0.553034188,0.940740741,10.23525926,10.23525926,2.843703704,3.784444444,7.907275007,-4.122830562,46.86423166,2.643028748,3.77476E-15,5.264246259,11.14388889,0.0927469,-0.51291298
1/17/2004,2004,1,2004_1,0,-2.725694444,0,0,10.23525926,5.555555556,5.555555556,8.723389875,-3.167834319,45.81007234,2.287159291,-1.9984E-15,6.436230583,1.388888889,0.0980115,-1.241285396
2/2/2004,2004,2,2004_2,0,-1.805555556,0,0,4.679703704,4.679703704,4.679703704,9.490094145,-4.810390441,49.82663508,2.627618015,-1.9984E-15,6.86247613,2.5,0.0856697,-1.533436967
2/18/2004,2004,3,2004_3,2.54,-1.701388889,0,2.54,2.54,2.54,2.54,10.10025975,-7.560259747,51.20013481,3.399032675,5.32907E-15,6.701227072,7.777777778,0.0952551,-2.032246836
3/5/2004,2004,4,2004_4,15.494,2.552083333,6.150092593,9.343907407,6.858,9.343907407,15.494,13.63157604,1.862423965,55.54480368,6.589675523,5.32907E-15,7.041900512,41.11111111,0.096124,-2.044282534
3/21/2004,2004,5,2004_5,0,12.25694444,0,0,0,0,0,25.11964921,-25.11964921,56.65369796,6.180157385,0,18.93949182,196.1111111,0.100391,-1.994822097
4/6/2004,2004,6,2004_6,14.986,12.95138889,14.986,0,0,0,14.986,27.58615021,-12.60015021,52.55418037,10.74164587,4.88498E-15,16.84450434,207.2222222,0.1011821,-1.145928343
4/22/2004,2004,7,2004_7,17.78,10.45138889,17.13794444,0.642055556,0.642055556,0,17.13794444,25.11914385,-7.981199403,62.79433529,11.23371282,3.55271E-15,13.88543103,167.2222222,0.121746,-0.839689761
5/8/2004,2004,8,2004_8,28.956,14.51385417,28.956,0,0,0.642055556,29.59805556,33.56042494,-3.962369381,79.85459795,14.32235132,3.33067E-15,19.23807362,232.2216667,0.1293072,-1.119562681
5/24/2004,2004,9,2004_9,0.508,16.84027778,0.508,0,0,0,0.508,38.36328861,-37.85528861,72.48107132,12.49332941,4.44089E-15,25.8699592,269.4444444,0.1261052,-0.867815797
6/9/2004,2004,10,2004_10,4.572,20.76388889,4.572,0,0,0,4.572,48.89856841,-44.32656841,62.32913597,15.37805304,-7.10543E-15,33.52051537,332.2222222,0.1247415,-0.471972744
6/25/2004,2004,11,2004_11,1.27,21.42361111,1.27,0,0,0,1.27,50.37969164,-49.10969164,50.47372345,12.07250356,3.9968E-15,38.30718808,342.7777778,0.1189887,-0.677027654
7/11/2004,2004,12,2004_12,9.652,23.31597222,9.652,0,0,0,9.652,55.26940915,-45.61740915,42.69556382,16.91164532,5.10703E-15,38.35776383,373.0555556,0.1198362,-0.189443658
7/27/2004,2004,13,2004_13,4.572,25.65972222,4.572,0,0,0,4.572,60.60148695,-56.02948695,33.46515744,12.81446145,-2.66454E-15,47.78702551,410.5555556,0.1172237,0.105563772
8/12/2004,2004,14,2004_14,7.62,24.58333333,7.62,0,0,0,7.62,55.75910701,-48.13910701,26.96663872,13.26299805,-6.66134E-16,42.49610896,393.3333333,0.1168958,-0.24033662
8/28/2004,2004,15,2004_15,13.97,22.17013889,13.97,0,0,0,13.97,47.61040617,-33.64040617,26.15984636,11.63910924,8.88178E-16,35.97129693,354.7222222,0.1120063,0.532248159
9/13/2004,2004,16,2004_16,1.778,21.45833333,1.778,0,0,0,1.778,43.9553416,-42.1773416,24.13160142,6.229579077,-1.55431E-15,37.72576252,343.3333333,0.1137152,-0.146151297
9/29/2004,2004,17,2004_17,7.062,16.22420139,7.062,0,0,0,7.062,31.98896384,-24.92696384,20.74127222,6.240514147,-8.88178E-16,25.74844969,259.5872222,0.1126076,0.448006126
10/15/2004,2004,18,2004_18,10.16,14.58333333,10.16,0,0,0,10.16,27.41606395,-17.25606395,26.71733188,7.721991357,-8.88178E-16,19.69407259,233.3333333,0.1091089,-0.325216094
10/31/2004,2004,19,2004_19,13.462,8.888888889,13.15625926,0.305740741,0.305740741,0.305740741,13.462,19.36736269,-5.905362686,29.67955722,5.987234917,4.10783E-15,13.38012777,142.2222222,0.1120444,-0.208923065
11/16/2004,2004,20,2004_20,46.736,4.959340278,38.85259259,7.883407407,7.337777778,7.883407407,46.736,14.51219475,32.22380525,51.16570444,6.867451831,9.65894E-15,7.644742919,79.34944444,0.1095626,-0.587944024
12/2/2004,2004,21,2004_21,20.828,1.111111111,2.822222222,18.00577778,10.92622222,16.48177778,19.304,11.34218798,7.96181202,82.35743351,5.010339526,2.66454E-15,6.331848454,39.72222222,0.0978541,0.01633503
12/18/2004,2004,22,2004_22,0,0.78125,0,0,1.524,1.524,1.524,10.69066534,-9.166665341,85.80269714,4.400383094,-1.88738E-15,6.290282247,32.22222222,0.1021825,0.178336846
1/1/2005,2004,23,2004_23,20.32,-1.730769231,0.940740741,19.37925926,18.26814815,1.111111111,2.051851852,7.372748488,-5.320896637,82.92635684,3.444357912,-6.99441E-15,3.928390576,4.166666667,0.0899075,-0.591439746
1/17/2005,2005,1,2005_1,30.43,-0.519097222,1.775648148,28.65435185,43.22566667,46.9225,48.69814815,9.980197451,38.7179507,100.8235453,6.775100298,-9.4369E-15,3.205097153,15.02777778,0.1011366,-0.59527499
2/2/2005,2005,2,2005_2,11.938,3.333333333,5.526851852,6.411148148,4.774259259,6.411148148,11.938,12.81659877,-0.878598769,124.6379852,8.335999835,1.43219E-14,4.480598934,53.33333333,0.0939274,-0.850368588
2/18/2005,2005,3,2005_3,7.486,2.617256944,2.114074074,5.371925926,3.51837037,3.697111111,5.811185185,13.01404136,-7.202856174,126.0791816,8.405192919,1.06581E-14,4.60884844,42.98722222,0.1096429,-1.524113136
3/5/2005,2005,4,2005_4,29.21,4.565104167,14.9812963,14.2287037,12.68588889,15.90351852,30.88481481,15.31138997,15.57342484,142.3292854,11.27097657,-1.0103E-14,4.040413408,73.04166667,0.1092764,-1.361174077
3/21/2005,2005,5,2005_5,5.08,7.419756944,5.08,0,0,0,5.08,19.10529536,-14.02529536,139.4766064,12.54061551,1.84297E-14,6.564679849,118.7161111,0.113811,-1.816411578
4/6/2005,2005,6,2005_6,8.428,8.412083333,7.818740741,0.609259259,0.609259259,0.609259259,8.428,21.5020571,-13.0740571,138.2234071,14.17386433,-2.35367E-14,7.328192769,134.5933333,0.1294201,-1.899722791
